Issue Type,Summary,Description,Priority,Severity,Components,Labels,Custom field (Risk Score),Custom field (Mitigation),Custom field (Early Warning),Assignee
"Risk,A1 - Data gaps in CE structures and role-players,""Critical CE actors or data missing. Deliverable: C3.1 Desktop Research."",High,High,Research,ce-risk,16,""Triangulate with interviews and CSIR/DFFE/DSI sources."",""Unverifiable CE actor data."",Research Lead"
"Risk,A2 - Misalignment with merSETA priorities,""Findings from C3.2 may not align with Sector Skills Plan."",High,High,Research,ce-risk,12,""Iterative validation with UFS/ACEN."",""Requests for restructuring."",Project Manager"
"Risk,A3 - Complexity in training requirements mapping,""Mapping CE interventions to skills may delay C3.3."",Medium,Medium,Curriculum,ce-risk,9,""Use modular mapping and Bloom’s taxonomy."",""Tasks repeatedly pushed to later sprints."",Curriculum Lead"
"Risk,B1 - SME unavailability,""SMEs unavailable for C4.1 webinar review or co-development."",Medium,Medium,Training,ce-risk,9,""Asynchronous reviews; early scheduling."",""Missed review meetings."",Project Manager"
"Risk,B2 - Policy updates outdated content,""Rapid CE policy updates may outdate webinars."",High,Medium,Training,ce-risk,12,""Include 'latest policy check' slide; maintain log."",""New CE policy announcements."",Curriculum Lead"
"Risk,C1 - NQF alignment risk,""Frameworks (C5.1/C5.2) may not meet SAQA/NQF."",High,High,Curriculum,ce-risk,12,""SAQA crosswalk; Bloom’s taxonomy alignment."",""Reviewer flags unclear outcomes."",Curriculum Lead"
"Risk,C2 - Outdated CE/manufacturing data,""Training may reference outdated industry data."",High,Critical,Curriculum,ce-risk,16,""Use latest CSIR/DTIC/Stats SA."",""Queries about outdated figures."",Curriculum Lead"
"Risk,D1 - Low training attendance,""Operational pressures may reduce attendance for C11–C15."",High,High,Training,ce-risk,12,""Hybrid delivery; CPD incentives."",""Low registrations."",Project Manager"
"Risk,D2 - Technology failures during training,""Online/hybrid delivery failures for C11–C15."",Medium,Medium,Training,ce-risk,9,""Platform redundancy; tech rehearsal."",""Failed tech tests."",Tech Lead"
"Risk,E1 - Restricted access to case study data,""Confidentiality constraints during C8–C10."",High,High,CaseStudies,ce-risk,12,""NDAs; anonymisation."",""Access delays."",Project Manager"
"Risk,E2 - Travel delays,""Travel disruptions affecting C9 case study execution."",Medium,Medium,CaseStudies,ce-risk,9,""Hybrid remote interviews."",""Repeated postponements."",Project Manager"
"Risk,F1 - Incomplete evidence for close-out,""Missing attendance records, surveys, or version control for C16."",High,High,Reporting,ce-risk,12,""Evidence tracker; weekly reviews."",""Missing documentation."",Project Manager"
"Risk,F2 - Stakeholder misalignment,""Divergent interpretations of findings in C16."",High,High,Reporting,ce-risk,8,""Alignment workshop."",""Conflicting feedback."",Project Manager"
